layer,title,status,repository_evidence_level,text_match_count,artifact_filename_match_count,reason
1,Plant Image Data Engineering,PARTIAL,STRONG_CANDIDATE_EVIDENCE,87,40,"Dataset cleaning, manifests, source tracking and leakage work exist, but real ESP32-CAM greenhouse ingestion and verified plant/session identity are not yet completed."
2,Annotation & Dataset Quality Layer,PARTIAL,STRONG_CANDIDATE_EVIDENCE,33,12,"Dataset QA, duplicates and split auditing exist, but the authoritative architecture requires YOLO bounding-box annotation/validation; current production evidence is classification-oriented."
3,Image Quality Gate,DONE,STRONG_CANDIDATE_EVIDENCE,6,0,Computer-side image-quality gate and recapture/failure handling are implemented.
4,Image Preprocessing,DONE,STRONG_CANDIDATE_EVIDENCE,18,4,Preprocessing is implemented and classification preprocessing parity was explicitly repaired and validated.
5,Controlled Data Augmentation,PARTIAL,STRONG_CANDIDATE_EVIDENCE,3,0,"Training used controlled augmentation, but the full architecture-level versioned augmentation experiment matrix is not yet closed."
6,Core Computer Vision Engine - YOLO11n,PARTIAL,STRONG_CANDIDATE_EVIDENCE,83,63,"YOLO11n classification is trained and validated for tomato and pepper, but the PDF architecture also requires region/bounding-box and affected-area outputs."
7,Visual Stress Feature Engine,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,"No direct implementation evidence for the required visual feature vector including affected-area, color, texture and relative visual change."
8,Plant Baseline / Delta Intelligence,PARTIAL,STRONG_CANDIDATE_EVIDENCE,37,19,"Baseline/delta concepts and contracts exist, but reproducible per-plant healthy baseline and validated color/texture/affected-area deltas are not fully closed."
9,Temporal Plant Analysis Dataset,HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,14,0,A valid temporal plant dataset requires repeated time-aligned observations of the same real plant under controlled conditions.
10,Early Stress Detection Analysis,HARDWARE_BLOCKED,STRONG_CANDIDATE_EVIDENCE,9,0,Early-stress lead-time validation requires real temporal plant evidence; classification data cannot establish pre-symptomatic lead time.
11,Model Training & Experiment Management,DONE,STRONG_CANDIDATE_EVIDENCE,79,0,"Config-driven training, experiment evidence, seeds and reproducible tomato/pepper training records are present."
12,Computer Vision Model Evaluation,PARTIAL,STRONG_CANDIDATE_EVIDENCE,68,8,"Held-out classification evaluation, confusion matrices, accuracy and Macro F1 are complete, but PDF detection-oriented mAP/region evaluation is not applicable to the current classification-only branch."
13,Computer Vision Error Analytics,PARTIAL,STRONG_CANDIDATE_EVIDENCE,47,0,"Saved error predictions and confusion/error-pair analytics exist, but full causal/environmental error categorization and required FP/FN report structure are not yet fully closed."
14,Active Learning Layer,DONE,STRONG_CANDIDATE_EVIDENCE,20,0,"Human-review active-learning queue is implemented; automatic labeling, retraining and actuation are explicitly disabled."
15,Vision Explainability Layer,DONE,STRONG_CANDIDATE_EVIDENCE,32,0,Validation-only Grad-CAM explainability with preprocessing parity is complete for tomato and pepper.
16,Transfer Learning & Crop Adaptation Layer,PARTIAL,STRONG_CANDIDATE_EVIDENCE,43,40,"Tomato-to-pepper adaptation experiment and held-out pepper evaluation exist, but selected-backbone freezing was not documented and transfer superiority was not established."
17,Model Export & Portability,DONE,STRONG_CANDIDATE_EVIDENCE,41,3,PyTorch-to-ONNX export and prediction parity are validated for both crops.
18,Vision Model Registry & Release,DONE,STRONG_CANDIDATE_EVIDENCE,36,4,"Versioned research-only registry, model hashes, routing and abstention behavior are implemented."
19,Sensor Data Ingestion,PARTIAL,STRONG_CANDIDATE_EVIDENCE,13,0,"Sensor schema/validation contracts exist, but real physically-present sensor ingestion has not yet been validated."
20,Sensor Feature Engineering,PARTIAL,STRONG_CANDIDATE_EVIDENCE,4,0,"Sensor validation infrastructure exists, but the complete versioned feature-engineering pipeline with moving averages/deltas/rates is not closed."
21,Image / Sensor Time Synchronization,DONE,STRONG_CANDIDATE_EVIDENCE,18,0,Image/sensor timestamp synchronization and stale/missing-window handling are implemented computer-side.
22,Multimodal Feature Fusion,PARTIAL,STRONG_CANDIDATE_EVIDENCE,18,0,"Fusion contracts/schema exist, but no validated multimodal feature model has yet been trained/calibrated."
23,Sensor-Only Baseline Model,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,Sensor-only baseline model required for ablation is not implemented.
24,Vision-Only Risk Baseline,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,Vision-only operational risk baseline is not implemented as a comparable risk estimator.
25,Multimodal Stress Fusion Engine,PARTIAL,SOME_CANDIDATE_EVIDENCE,2,0,"Fusion contracts exist, but a trained lightweight multimodal stress fusion model with validated metrics is still missing."
26,Stress Risk Score Engine,PARTIAL,STRONG_CANDIDATE_EVIDENCE,9,0,"Risk/output scaffolding exists, but a calibrated fused 0-100 Stress Risk Score is not yet validated."
27,Risk Calibration & Threshold Optimization,PARTIAL,STRONG_CANDIDATE_EVIDENCE,39,0,"Threshold/safety concepts exist, but probability calibration and validation-derived operational thresholds are not closed."
28,Temporal Intelligence Engine,SOFTWARE_TODO,NO_DIRECT_EVIDENCE_FOUND,0,0,"Required bounded-memory risk trend, velocity and acceleration engine has no direct implementation evidence."
29,Predictive Risk Forecasting Engine,SOFTWARE_TODO,STRONG_CANDIDATE_EVIDENCE,3,0,Predictive Risk Engine with configurable horizons and naive-baseline comparison is not implemented.
30,AI Uncertainty & Out-of-Distribution Layer,PARTIAL,STRONG_CANDIDATE_EVIDENCE,11,0,"Low-confidence/image-quality/missing-data safety behavior exists, but complete explicit uncertainty/OOD state handling is not yet closed."
31,Vision / Sensor Conflict Detection,PARTIAL,STRONG_CANDIDATE_EVIDENCE,4,0,"Conflict-safe behavior is represented in contracts/safety logic, but formal validated vision-vs-sensor conflict detection is not yet closed."
