layer,title,evidence_level,text_match_count,artifact_filename_match_count,top_evidence_paths
1,Plant Image Data Engineering,STRONG_CANDIDATE_EVIDENCE,87,40,configs/pepper_final_test_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.onnx | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.pt | runs/pepper_transfer/pepper_generic_baseline_v1/args.yaml | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix.png
2,Annotation & Dataset Quality Layer,STRONG_CANDIDATE_EVIDENCE,33,12,configs/active_learning_policy_v1.json | configs/real_multimodal_sample_schema_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | runs/greenpulse/tomato_cpu_v1/val_batch0_labels.jpg | runs/greenpulse/tomato_cpu_v1/val_batch1_labels.jpg | runs/greenpulse/tomato_cpu_v1/val_batch2_labels.jpg | runs/pepper_transfer/pepper_generic_baseline_v1/val_batch0_labels.jpg
3,Image Quality Gate,STRONG_CANDIDATE_EVIDENCE,6,0,configs/active_learning_policy_v1.json | reports/tomato_active_learning_v1.json | src/active_learning.py | src/api.py | src/image_quality.py | tests/test_active_learning_v1.py
4,Image Preprocessing,STRONG_CANDIDATE_EVIDENCE,18,4,reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.json | reports/jury_final_shortlist_v1/ai_ml_defense_pack.md | reports/pepper_computer_side_completion_v3.json | runs/greenpulse/tomato_cpu_v1/confusion_matrix_normalized.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix_normalized.png | runs/pepper_transfer/pepper_tomato_transfer_v1/confusion_matrix_normalized.png | runs/tomato_clean/tomato_clean_v1/confusion_matrix_normalized.png
5,Controlled Data Augmentation,STRONG_CANDIDATE_EVIDENCE,3,0,scripts/final_pepper_test_v1.py | src/evaluate_tomato_test.py | src/train_tomato_full.py
6,Core Computer Vision Engine - YOLO11n,STRONG_CANDIDATE_EVIDENCE,83,63,configs/pepper_final_test_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/tomato_clean_training_v1.json | configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | models/greenpulse_tomato_yolo11n_cls_v1.0.onnx | models/greenpulse_tomato_yolo11n_cls_v1.0.pt | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.onnx | models/release_candidates/pepper_transfer_v1/pepper_transfer_v1.pt
7,Visual Stress Feature Engine,NO_DIRECT_EVIDENCE_FOUND,0,0,
8,Plant Baseline / Delta Intelligence,STRONG_CANDIDATE_EVIDENCE,37,19,configs/closed_loop_response_schema_v1.json | configs/crop_adaptation_protocol_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json | runs/pepper_transfer/pepper_generic_baseline_v1/args.yaml | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix_normalized.png | runs/pepper_transfer/pepper_generic_baseline_v1/results.csv
9,Temporal Plant Analysis Dataset,STRONG_CANDIDATE_EVIDENCE,14,0,configs/real_multimodal_sample_schema_v1.json | reports/tomato_active_learning_v1.json | reports/tomato_computer_side_completion_v1.json | reports/tomato_final_test_attempt_v1.json | reports/tomato_final_test_v1.json | reports/tomato_model_card_v1.json | reports/tomato_onnx_parity_v1.json | reports/tomato_post_test_error_analysis_v1.json
10,Early Stress Detection Analysis,STRONG_CANDIDATE_EVIDENCE,9,0,configs/tomato_clean_training_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/tomato_clean_training_v1.json | reports/tomato_computer_side_completion_v1.json | reports/tomato_final_test_v1.json
11,Model Training & Experiment Management,STRONG_CANDIDATE_EVIDENCE,79,0,configs/active_learning_policy_v1.json | configs/crop_adaptation_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/tomato_clean_training_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md
12,Computer Vision Model Evaluation,STRONG_CANDIDATE_EVIDENCE,68,8,configs/active_learning_policy_v1.json | configs/crop_adaptation_protocol_v1.json | configs/pepper_final_test_protocol_v1.json | configs/pepper_transfer_experiment_v1.json | configs/tomato_clean_training_v1.json | configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | runs/greenpulse/tomato_cpu_v1/confusion_matrix.png | runs/greenpulse/tomato_cpu_v1/confusion_matrix_normalized.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix.png | runs/pepper_transfer/pepper_generic_baseline_v1/confusion_matrix_normalized.png
13,Computer Vision Error Analytics,STRONG_CANDIDATE_EVIDENCE,47,0,configs/vision_model_registry_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_jury_evidence_manifest_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json
14,Active Learning Layer,STRONG_CANDIDATE_EVIDENCE,20,0,configs/active_learning_policy_v1.json | reports/greenpulse_computer_side_completion_v1.json | reports/greenpulse_final_jury_package_qa_v1.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.json | reports/greenpulse_jury_evidence_map_v1.before_claim_repair.md | reports/greenpulse_jury_evidence_map_v1.json | reports/greenpulse_jury_evidence_map_v1.md | reports/greenpulse_jury_visual_source_audit_v1.json
